STREET_NAME,DATE,TIME,TOTAL_SPACES,OCCUPIED_SPACES
Harrison Street,2023-10-01,00:00:00,35,7
Harrison Street,2023-10-01,00:15:00,35,11
Harrison Street,2023-10-01,00:30:00,35,9
Harrison Street,2023-10-01,00:45:00,35,6
Harrison Street,2023-10-01,01:00:00,35,4
Harrison Street,2023-10-01,01:15:00,35,9
Harrison Street,2023-10-01,01:30:00,35,6
Harrison Street,2023-10-01,01:45:00,35,5
Harrison Street,2023-10-01,02:00:00,35,7
Harrison Street,2023-10-01,02:15:00,35,6
Harrison Street,2023-10-01,02:30:00,35,10
Harrison Street,2023-10-01,02:45:00,35,11
Harrison Street,2023-10-01,03:00:00,35,6
Harrison Street,2023-10-01,03:15:00,35,11
Harrison Street,2023-10-01,03:30:00,35,5
Harrison Street,2023-10-01,03:45:00,35,5
Harrison Street,2023-10-01,04:00:00,35,4
Harrison Street,2023-10-01,04:15:00,35,10
Harrison Street,2023-10-01,04:30:00,35,3
Harrison Street,2023-10-01,04:45:00,35,10
Harrison Street,2023-10-01,05:00:00,35,3
Harrison Street,2023-10-01,05:15:00,35,10
Harrison Street,2023-10-01,05:30:00,35,9
Harrison Street,2023-10-01,05:45:00,35,7
Harrison Street,2023-10-01,06:00:00,35,7
Harrison Street,2023-10-01,06:15:00,35,5
Harrison Street,2023-10-01,06:30:00,35,5
Harrison Street,2023-10-01,06:45:00,35,7
Harrison Street,2023-10-01,07:00:00,35,8
Harrison Street,2023-10-01,07:15:00,35,4
Harrison Street,2023-10-01,07:30:00,35,3
Harrison Street,2023-10-01,07:45:00,35,10
Harrison Street,2023-10-01,08:00:00,35,34
Harrison Street,2023-10-01,08:15:00,35,33
Harrison Street,2023-10-01,08:30:00,35,32
Harrison Street,2023-10-01,08:45:00,35,34
Harrison Street,2023-10-01,09:00:00,35,34
Harrison Street,2023-10-01,09:15:00,35,29
Harrison Street,2023-10-01,09:30:00,35,32
Harrison Street,2023-10-01,09:45:00,35,30
Harrison Street,2023-10-01,10:00:00,35,27
Harrison Street,2023-10-01,10:15:00,35,29
Harrison Street,2023-10-01,10:30:00,35,31
Harrison Street,2023-10-01,10:45:00,35,26
